,Customer Number,Campaign Period Sales,Historical Sales Volume,Date of First Purchase,Number of Prior Year Transactions,Do Not Direct Mail Solicit,Do Not Email,Do Not Telemarket,Repurchase Method,Last Transaction Channel,Desk,Executive Chair,Standard Chair,Monitor,Printer,Computer,Insurance,Toner,Office Supplies,Number of Employees,Language,Service Level,Date of Last Transaction,Number of Transactions,Email Available,Buy,Customer_engagement_days,Days_since_last_transaction,Customer_engagement_length,Language_group
17,234724,141.712,637704.0,1975-02-15,30.0,False,True,False,NOTICE,BRANCH (POS),N,Y,N,N,N,N,N,N,Y,6-10,English,Premier,2015-05-23,30,False,1,17154,2447,Long-Term,English
18,240009,0.0,792136.7999999999,1990-12-01,21.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,101-500,English,Premier,2014-03-07,21,True,0,11386,2889,Mid_Term,English
19,246714,507.3142857142857,192779.42857142858,1973-03-15,19.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2008-09-29,19,True,1,17856,4874,Long-Term,English
20,251966,0.0,363121.00000000006,1985-11-15,15.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2013-02-02,15,False,0,13228,3287,Mid_Term,English
21,255302,0.0,501692.4,2013-08-15,22.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2012-06-29,22,False,0,3093,3505,Short_Term,English
22,260882,0.0,117955.20000000003,1980-02-15,18.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2016-08-11,18,True,0,15328,2001,Long-Term,English
23,268173,0.0,127709.86666666668,1991-04-01,8.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2012-04-22,8,True,0,11265,3573,Mid_Term,English
24,274058,0.0,452872.3466666666,1989-09-01,11.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Standard,2011-09-30,11,True,0,11842,3778,Mid_Term,English
25,275416,178.47619047619048,517224.0,1971-05-15,21.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2015-03-13,21,True,1,18526,2518,Long-Term,English
26,284729,0.0,350056.00000000006,1991-05-15,15.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2004-10-12,15,True,0,11221,6322,Mid_Term,English
27,285962,0.0,29864.761904761905,1984-07-15,4.0,False,False,False,NOTICE,WEB,N,N,N,N,N,N,Y,N,Y,6-10,English,Premier,2012-11-02,4,True,0,13716,3379,Mid_Term,English
28,290624,0.0,390473.14285714284,1989-12-01,15.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2013-05-18,15,False,0,11751,3182,Mid_Term,English
30,299477,304.08000000000004,485007.6000000001,1972-12-15,11.0,True,True,True,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2010-03-05,11,True,1,17946,4352,Long-Term,English
31,301458,323.3706666666667,548113.28,2014-12-18,15.0,False,False,False,AUTO RENEW,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2015-03-19,15,False,1,2603,2512,Short_Term,English
32,315239,211.25866666666667,71827.94666666667,1959-06-01,17.0,False,True,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2014-02-22,17,True,1,22892,2902,Long-Term,English
33,316370,0.0,112012.5,1988-09-15,3.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,N,6-10,English,Standard,2014-08-28,3,True,0,12193,2715,Mid_Term,English
34,322630,0.0,178257.19999999998,1992-09-01,10.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2014-10-07,10,True,0,10746,2675,Mid_Term,English
35,323468,201.6952380952381,298508.95238095237,1970-12-15,20.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2014-09-28,20,False,1,18677,2684,Long-Term,English
36,330469,0.0,948106.9714285715,1992-05-01,22.0,False,False,False,NOTICE,MAIL,N,N,N,Y,N,N,N,N,Y,6-10,English,Premier,2012-10-29,22,False,0,10869,3383,Mid_Term,English
37,331032,0.0,953837.7333333336,1990-11-01,14.0,False,True,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2010-08-08,14,True,0,11416,4196,Mid_Term,English
38,332697,131.86666666666665,346545.5999999999,1967-09-01,18.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2015-01-02,18,True,1,19878,2588,Long-Term,English
39,342310,0.0,105257.59999999999,1990-04-15,16.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,N,11-50,Unknowm,Premier,2013-06-06,16,True,0,11616,3163,Mid_Term,European
41,356828,0.0,71875.04761904762,1991-03-01,4.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2012-04-15,4,True,0,11296,3580,Mid_Term,English
42,357850,0.0,34663.571428571435,1990-07-01,1.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,N,6-10,Unknowm,Premier,2014-07-07,1,True,0,11539,2767,Mid_Term,European
43,363119,0.0,312152.99047619046,1986-09-15,19.0,False,False,False,NOTICE,PHONE,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2013-08-30,19,False,0,12924,3078,Mid_Term,English
44,363574,0.0,173610.80000000002,1988-03-15,15.0,False,True,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2003-12-15,15,True,0,12377,6624,Mid_Term,English
45,367083,0.0,334889.2,1973-09-15,15.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,Hindi,Standard,2015-03-08,15,True,0,17672,2523,Long-Term,Asian
50,390302,1299.25,3383247.0,1994-04-01,21.0,False,False,False,NOTICE,WEB,Y,Y,Y,Y,Y,Y,Y,N,N,101-500,English,Standard,2012-11-14,21,True,1,10169,3367,Mid_Term,English
51,398067,0.0,922924.7999999999,1988-03-01,15.0,False,False,False,NOTICE,MAIL,N,N,N,N,Y,N,N,N,Y,11-50,English,Premier,2010-12-31,15,True,0,12391,4051,Mid_Term,English
52,399932,448.0533333333334,138448.48000000004,2001-04-09,3.0,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2006-02-21,3,True,1,7604,5825,Mid_Term,English
53,400461,283.1190476190476,143824.47619047618,1993-11-01,4.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,N,6-10,English,Premier,2014-04-03,4,False,1,10320,2862,Mid_Term,English
55,402456,0.0,1118455.0,1983-09-01,15.0,False,False,False,NOTICE,MAIL,N,N,N,Y,N,N,N,N,Y,51-100,English,Standard,2012-04-08,15,True,0,14034,3587,Mid_Term,English
56,404852,125.77066666666667,168910.00533333333,1975-12-15,17.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,1-5,Unknowm,Premier,2015-12-27,17,True,1,16851,2229,Long-Term,European
57,407095,195.59428571428575,404880.17142857146,1994-05-15,24.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2015-09-30,15,True,1,10125,2317,Mid_Term,English
58,408612,0.0,70817.24,1983-11-01,30.0,False,False,False,AUTO RENEW,WEB,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2015-09-15,30,True,0,13973,2332,Mid_Term,English
60,420762,357.65714285714284,572966.7428571428,1994-07-15,18.0,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2011-09-06,18,True,1,10064,3802,Mid_Term,English
61,427079,0.0,173556.24000000005,1989-12-15,18.0,False,False,False,AUTO RENEW,WEB,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2017-09-06,18,True,0,11737,1610,Mid_Term,English
62,435680,179.58095238095237,20831.390476190474,1994-02-15,4.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2015-03-06,4,True,1,10214,2525,Mid_Term,English
63,456530,375.81142857142856,876016.44,1994-08-01,21.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2013-01-10,21,True,1,10047,3310,Mid_Term,English
65,457645,170.47619047619048,26253.333333333336,1970-07-01,14.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2015-05-10,14,False,1,18844,2460,Long-Term,English
66,463477,0.0,1520057.7600000002,1978-08-15,30.0,False,False,False,AUTO RENEW,WEB,N,N,N,N,N,N,Y,N,Y,11-50,English,Standard,2013-11-27,30,True,0,15877,2989,Long-Term,English
67,465038,0.0,344148.48,1977-08-15,18.0,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2014-12-23,18,True,0,16242,2598,Long-Term,English
68,469927,0.0,289807.54285714286,1983-07-15,12.0,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2014-07-17,12,True,0,14082,2757,Mid_Term,English
69,473854,409.76000000000005,86049.6,1975-04-15,21.0,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2012-12-15,21,False,1,17095,3336,Long-Term,English
70,475838,0.0,24411.333333333336,1989-05-01,5.0,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,101-500,Unknowm,Premier,2016-09-28,5,True,0,11965,1953,Mid_Term,European
71,479595,0.0,95870.0,1995-06-01,6.0,False,False,False,NOTICE,BRANCH (PHONE),Y,N,N,N,N,N,N,N,N,11-50,English,Premier,2015-02-12,6,True,0,9743,2547,Mid_Term,English
72,481829,0.0,130069.33333333334,1987-07-01,20.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2013-10-16,20,True,0,12635,3031,Mid_Term,English
73,483018,0.0,459523.67999999993,1986-07-15,18.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2014-01-19,18,True,0,12986,2936,Mid_Term,English
74,488200,621.8000000000001,790929.6000000001,1974-07-01,24.0,False,True,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,101-500,English,Standard,2015-03-19,24,False,1,17383,2512,Long-Term,English
75,489757,0.0,142550.81904761904,2013-08-30,13.0,False,True,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2014-08-22,13,True,0,3078,2721,Short_Term,English
77,500723,0.0,231278.40000000002,1990-05-01,9.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2012-09-11,9,False,0,11600,3431,Mid_Term,English
78,501379,0.0,238402.56,1991-01-01,17.0,False,False,False,NOTICE,WEB,Y,N,N,N,N,N,N,N,Y,11-50,English,Premier,2015-08-18,17,True,0,11355,2360,Mid_Term,English
79,502922,159.904,240495.61599999998,1992-01-01,16.0,False,False,False,NOTICE,MAIL,N,Y,N,N,N,N,Y,N,Y,1-5,English,Premier,2014-12-18,16,True,1,10990,2603,Mid_Term,English
80,505260,321.5333333333333,360760.39999999997,1992-09-01,11.0,True,True,True,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,11-50,English,Standard,2015-03-26,11,True,1,10746,2505,Mid_Term,English
82,508609,0.0,291845.5466666667,1992-02-01,22.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2014-06-22,22,True,0,10959,2782,Mid_Term,English
83,513593,689.4666666666667,2275240.0,2016-08-16,22.0,False,True,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,101-500,English,Standard,2014-11-01,22,True,1,1996,2650,Short_Term,English
84,515003,180.9142857142857,290367.4285714286,1972-12-15,15.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2015-02-24,15,True,1,17946,2535,Long-Term,English
85,515885,0.0,486963.3600000001,1982-10-01,18.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,Y,N,Y,51-100,English,Premier,2010-08-27,18,True,0,14369,4177,Mid_Term,English
86,517569,0.0,1561308.4031999998,1991-10-15,21.0,False,False,False,AUTO RENEW,AUTO RENEW,N,Y,N,N,N,N,N,N,Y,11-50,English,Premier,2009-04-17,21,True,0,11068,4674,Mid_Term,English
87,522869,211.13333333333333,452247.6,1983-09-01,17.0,False,False,False,NOTICE,MAIL,N,N,N,N,Y,N,Y,N,Y,1-5,English,Premier,2012-10-12,17,True,1,14034,3400,Mid_Term,English
88,525403,327.23809523809524,36650.666666666664,2007-06-29,8.0,False,True,False,NOTICE,WEB,N,N,N,N,N,N,N,Y,N,6-10,English,Premier,2013-07-24,8,True,1,5332,3115,Short_Term,English
90,530705,261.92380952380955,766389.0666666668,1993-11-15,22.0,False,False,False,NOTICE,PHONE,N,N,N,N,N,N,N,Y,Y,6-10,English,Premier,2013-07-23,22,True,1,10306,3116,Mid_Term,English
91,533054,0.0,1203408.0,1985-03-01,20.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2011-10-15,20,True,0,13487,3763,Mid_Term,English
93,538234,0.0,244613.6,1990-05-01,19.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2014-11-25,19,True,0,11600,2626,Mid_Term,English
94,544783,643.4566666666667,1415604.6666666667,1994-02-15,20.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,Y,Y,51-100,English,Premier,2013-02-24,20,True,1,10214,3265,Mid_Term,English
95,547834,0.0,542792.0,1991-04-01,8.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,N,51-100,Unknowm,Standard,2013-05-12,8,True,0,11265,3188,Mid_Term,European
96,547914,235.8666666666667,96233.60000000002,1981-04-01,17.0,False,True,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2014-01-26,17,True,1,14917,2929,Long-Term,English
97,548844,0.0,2683729.4166666665,1991-09-15,19.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,N,101-500,English,Premier,2012-10-11,19,False,0,11098,3401,Mid_Term,English
98,552441,0.0,483258.5142857143,1995-12-15,8.0,False,True,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2009-12-25,8,True,0,9546,4422,Mid_Term,English
99,554226,0.0,409633.71428571426,1983-07-15,18.0,True,True,True,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2015-07-30,18,False,0,14082,2379,Mid_Term,English
100,554977,0.0,1760491.2000000002,1985-03-01,24.0,True,True,True,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,101-500,English,Premier,2014-01-29,24,False,0,13487,2926,Mid_Term,English
101,559402,0.0,141313.2190476191,1996-02-15,5.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2012-01-13,5,True,0,9484,3673,Mid_Term,English
103,577927,297.67619047619047,253322.4380952381,1980-12-15,23.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2012-11-09,23,False,1,15024,3372,Long-Term,English
104,580760,0.0,106833.28000000001,1990-11-01,6.0,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2012-05-19,6,True,0,11416,3546,Mid_Term,English
105,580809,0.0,101160.2176,1997-03-15,8.0,False,False,False,AUTO RENEW,AUTO RENEW,N,Y,N,N,N,N,N,N,Y,1-5,English,Premier,2013-06-01,8,False,0,9090,3168,Mid_Term,English
106,583531,188.11428571428573,485334.8571428572,1975-08-15,20.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2015-01-03,20,True,1,16973,2587,Long-Term,English
107,588242,0.0,1223666.8800000001,1996-02-15,19.0,False,False,False,NOTICE,MAIL,N,Y,N,N,N,N,N,N,Y,6-10,English,Standard,2011-06-27,19,False,0,9484,3873,Mid_Term,English
108,590600,0.0,817190.8800000001,1996-06-01,22.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,Italian,Standard,2012-11-06,22,True,0,9377,3375,Mid_Term,European
109,591403,0.0,563805.1466666667,1979-11-15,22.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,Y,Y,6-10,English,Premier,2013-09-04,22,True,0,15420,3073,Long-Term,English
110,596674,0.0,3305316.8000000003,1992-10-01,12.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,500+,English,Premier,2013-01-23,12,False,0,10716,3297,Mid_Term,English
111,598464,0.0,544643.7333333334,1992-02-01,20.0,False,True,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2012-09-08,20,True,0,10959,3434,Mid_Term,English
112,599293,265.81666666666666,50505.166666666664,1989-01-01,5.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,N,1-5,Unknowm,Standard,2012-09-26,5,False,1,12085,3416,Mid_Term,European
113,600098,0.0,253409.93333333335,1988-07-01,22.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,51-100,English,Standard,2011-02-07,22,False,0,12269,4013,Mid_Term,English
114,600423,0.0,493349.60000000003,2007-07-10,24.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,Y,N,Y,51-100,English,Premier,2013-10-17,24,True,0,5321,3030,Short_Term,English
115,610062,218.14000000000001,317611.84,1993-08-01,14.0,False,False,False,AUTO RENEW,WEB,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2013-12-30,14,True,1,10412,2956,Mid_Term,English
116,610331,0.0,230601.6,1989-07-15,20.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2015-07-13,20,True,0,11890,2396,Mid_Term,English
117,613173,0.0,182160.0,1991-08-01,12.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2013-04-14,12,False,0,11143,3216,Mid_Term,English
119,617710,0.0,477741.3333333334,1996-01-01,20.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2013-07-19,20,False,0,9529,3120,Mid_Term,English
120,618112,272.5714285714286,372060.00000000006,2000-09-29,13.0,True,True,True,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2013-05-08,13,False,1,7796,3192,Mid_Term,English
122,626325,0.0,62081.36,1986-02-15,22.0,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2014-07-15,22,True,0,13136,2759,Mid_Term,English
124,652288,0.0,246031.9085714286,2005-06-09,20.0,False,False,False,AUTO RENEW,AUTO RENEW,N,Y,N,N,N,N,Y,N,Y,6-10,English,Standard,2015-03-08,20,True,0,6082,2523,Short_Term,English
125,655178,0.0,64707.41333333332,1953-02-15,13.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2011-05-11,13,True,0,25189,3920,Long-Term,English
126,657664,341.56571428571436,145848.56000000003,2004-08-19,7.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2013-07-18,7,True,1,6376,3121,Short_Term,English
127,659887,256.15238095238095,369884.0380952381,1972-04-01,19.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,Y,N,Y,6-10,English,Standard,2013-09-03,19,True,1,18204,3074,Long-Term,English
128,660147,0.0,236688.47999999998,1987-12-15,14.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,Y,N,Y,11-50,English,Premier,2015-10-10,14,False,0,12468,2307,Mid_Term,English
129,660762,0.0,186198.48000000004,1990-12-01,9.0,False,False,False,AUTO RENEW,PHONE,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2010-06-25,9,True,0,11386,4240,Mid_Term,English
130,664473,372.70133333333337,798326.256,1970-04-15,21.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2014-09-06,21,True,1,18921,2706,Long-Term,English
131,678958,0.0,915618.3771428573,2014-06-29,20.0,False,False,False,AUTO RENEW,PHONE,N,Y,N,N,N,N,N,N,Y,6-10,English,Standard,2012-09-13,20,True,0,2775,3429,Short_Term,English
132,681237,0.0,442626.80000000005,2010-12-03,15.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2013-04-30,15,True,0,4079,3200,Short_Term,English
133,684628,0.0,708728.0571428572,1993-10-01,17.0,False,True,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2011-09-16,17,True,0,10351,3792,Mid_Term,English
134,685272,0.0,766021.9542857143,1990-08-01,13.0,False,False,False,AUTO RENEW,WEB,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2012-08-10,13,True,0,11508,3463,Mid_Term,English
135,686055,0.0,2301309.2666666666,1988-03-15,17.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,101-500,English,Premier,2008-11-04,17,False,0,12377,4838,Mid_Term,English
138,688068,580.6666666666666,1097460.0,1980-12-25,21.0,False,False,False,AUTO RENEW,PHONE,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2012-06-09,21,True,1,15014,3525,Long-Term,English
139,688257,0.0,878075.5000000001,1989-07-01,17.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,51-100,English,Premier,2012-08-08,17,True,0,11904,3465,Mid_Term,English
141,696336,0.0,30805.866666666665,2004-05-17,2.0,False,False,False,NOTICE,AUTO RENEW,N,N,N,N,N,N,N,N,Y,101-500,English,Standard,2014-10-10,2,True,0,6470,2672,Short_Term,English
142,697971,0.0,800891.0,2011-04-06,13.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,N,6-10,English,Standard,2012-02-14,13,True,0,3955,3641,Short_Term,English
143,698519,177.1619047619048,66967.20000000001,1975-05-15,18.0,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2015-03-23,18,True,1,17065,2508,Long-Term,English
145,703589,0.0,106229.76,2010-05-28,8.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,N,11-50,Unknowm,Standard,2011-07-17,8,True,0,4268,3853,Short_Term,European
146,703988,427.02400000000006,1067560.0000000002,1994-04-15,20.0,False,True,False,AUTO RENEW,AUTO RENEW,N,Y,N,N,N,N,N,N,Y,6-10,English,Standard,2013-04-30,20,True,1,10155,3200,Mid_Term,English
147,705377,0.0,819910.0,1986-01-01,21.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2010-04-13,21,True,0,13181,4313,Mid_Term,English
148,709218,0.0,616314.3999999999,1992-02-01,19.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2015-03-15,19,False,0,10959,2516,Mid_Term,English
149,710564,0.0,67689.6,2009-12-16,22.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2015-02-08,22,True,0,4431,2551,Short_Term,English
151,717672,567.5619047619048,237240.8761904762,1963-09-01,19.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,Y,Y,6-10,English,Standard,2007-07-25,19,True,1,21339,5306,Long-Term,English
152,719924,0.0,504252.84,1997-06-01,21.0,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2014-06-16,21,True,0,9012,2788,Mid_Term,English
153,721584,0.0,1535940.0,1996-02-15,20.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,101-500,English,Premier,2009-02-17,20,True,0,9484,4733,Mid_Term,English
155,730662,0.0,260560.45714285717,1995-10-15,48.0,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,Y,N,Y,6-10,Unknowm,Premier,2015-06-22,48,True,0,9607,2417,Mid_Term,European
